index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
55795,00664181,인텔리안테크,INTELLIAN TECHNOLOGIES Inc.,189300,
55887,01058101,라파스,"Raphas Co., Ltd.",214260,
55937,01213586,아이디피,"IDP Corp., Ltd.",332370,
55985,00405506,삼영에스앤씨,"SAMYOUNG S&C CO., LTD.",361670,
56058,00268181,에스피컴텍,"SP. COMTECH CO., LTD.",039110,
56168,00552992,진매트릭스,GENEMATRIX INC.,109820,
56322,00173731,씨앤에스자산관리,"C&S ASSET MANAGEMENT CO., LTD.",032040,
56435,00396925,엠로,"EMRO., Incorporated",058970,
56478,01141942,액트로,"ACTRO CO.,Ltd",290740,
56561,00524421,테스,"TESCO.,LTD.",095610,
56743,00491336,잘만테크,"ZalmanTechCo.,Ltd.",090120,
56758,00556615,모바일어플라이언스,"MOBILE APPLIANCE, INC.",087260,
56785,00447760,미래컴퍼니,meerecompanyIncorporated,049950,
56786,01084294,오토앤,AUTO& Inc.,353590,
56903,00118284,동일금속,"DONGIL METAL CO., LTD.",109860,
57132,00442145,아바코,"AVACOCO.,LTD.",083930,
57138,00411446,큐에스아이,"Q.S.ICo.,Ltd.",066310,
57284,01137295,프리시젼바이오,Precision Biosensor Inc.,335810,
57405,00532129,영림원소프트랩,"YoungLimWon SoftLab. Co., Ltd.",060850,
57433,01459212,원준,"Onejoon Co., Ltd.",382840,
57592,00244747,파크시스템스,Park Systems Corp.,140860,
57734,01234297,미원에스씨,"Miwon Specialty Chemical Co., Ltd.",268280,
57740,00763473,코스메카코리아,"COSMECCA KOREA CO., LTD.",241710,
57864,00578325,럭스피아,"Luxpia Co., Ltd.",092590,
58019,00442048,아바텍,"AVATEC CO.,LTD.",149950,
58022,00663289,위월드,"WIWORLD Co.,Ltd",140660,
58187,00147152,유니크,UNICK CORPORATION,011320,
58249,00977377,에이비온,ABION Inc.,203400,
58336,00494546,오비고,Obigo Inc.,352910,
58349,00493501,씨디네트웍스,"CDNetworksCo.,Ltd.",073710,
58417,00267979,한일화학,"HANIL CHEMICAL IND. CO.,LTD",007770,
58597,00530121,디에스케이,"DSK Co.,Ltd.",109740,
58655,00166272,화승코퍼레이션,"Hwaseung Corporation CO., LTD ",013520,
59366,00659815,금오하이텍,"KUMO HITEC. CO., LTD",165270,
59379,00117072,동양건설산업,DONGYANG ENGINEERING @ CONSTRUCT CORP.,005900,
59580,00107303,피엔에스커튼월,"PNS CURTAINWALL CO., LTD",033220,
59627,00393618,제노텍,GENOTECH CORP.,066830,
59683,01022902,애드바이오텍,"ADBIOTECH Co.,Ltd.",179530,
59792,00350738,제네시스디벨롭먼트홀딩스,"Tera Resource Co., Ltd.",053320,
59818,00133715,대주코레스,"KORES CO.,LTD",008340,
59867,00946030,로보티즈,ROBOTIS,108490,
59927,00122728,범양사,"Pumyang Co., Ltd.",002480,
59995,00123967,부산도시가스,"BUSAN CITY GAS CO.,LTD",015350,
60012,00108649,TPC,TPC Mechatronics Corporation,048770,
60027,00231044,우리기술,"Woori Technology, Incorporation",032820,
60077,00609324,뷰웍스,"Vieworks Co., Ltd.",100120,
60223,01429840,아이티아이즈,ITEYES Inc.,372800,
60302,00143794,원림,WONLIM CORPORATION,005820,
60386,01267222,캐리소프트,"CARRIESOFT Co., Ltd.",317530,
60561,00162780,한일건설,"HANIL ENGINEERING & CONSTRUCTION CO.,LTD.",006440,
60634,00183215,케이디지엠텍,"alti-electronics co., ltd.",032290,
60686,00175650,케이씨더블류,Kyung Chang Wiper Corporation,068060,
60800,01139497,에스제이켐,"SJ-CHEM Co., Ltd.",217910,
60874,00860730,에이리츠,A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.,140910,
61096,01359736,프로이천,"PRO2000 CO.,LTD.",321260,
